"#","yo","tú","él, ella, usted","nosotros, nosotras","ustedes","ellos, ellas","I","you (informal)","he, she, you (formal)","we (masculine), we (feminine)","you all","they (masculine), they (feminine)"
"0","abandonaba","abandonabas","abandonaba","abandonábamos","abandonaban","abandonaban","left behind","left behind","left behind","left behind","left behind","left behind"
"1","abarcaba","abarcabas","abarcaba","abarcábamos","abarcaban","abarcaban","encompassed","encompassed","encompassed","encompassed","encompassed","encompassed"
"2","abordaba","abordabas","abordaba","abordábamos","abordaban","abordaban","boarded","boarded","boarded","boarded","boarded","boarded"
"3","abrazaba","abrazabas","abrazaba","abrazábamos","abrazaban","abrazaban","hugged","hugged","hugged","hugged","hugged","hugged"
"4","abría","abrías","abría","abríamos","abrían","abrían","opened","opened","opened","opened","opened","opened"
"5","absorbía","absorbías","absorbía","absorbíamos","absorbían","absorbían","absorbed","absorbed","absorbed","absorbed","absorbed","absorbed"
"6","abundaba","abundabas","abundaba","abundábamos","abundaban","abundaban","was plentiful","were plentiful","was plentiful","were plentiful","were plentiful","were plentiful"
"7","aburría","aburrías","aburría","aburríamos","aburrían","aburrían","bored","bored","bored","bored","bored","bored"
"8","abusaba","abusabas","abusaba","abusábamos","abusaban","abusaban","abused","abused","abused","abused","abused","abused"
"9","acababa","acababas","acababa","acabábamos","acababan","acababan","finished","finished","finished","finished","finished","finished"
