"#","yo","tú","él, ella, usted","nosotros, nosotras","ustedes","ellos, ellas","I","you (informal)","he, she, you (formal)","we (masculine), we (feminine)","you all","they (masculine), they (feminine)"
"0","abandonara","abandonaras","abandonara","abandonáramos","abandonaran","abandonaran","left behind","left behind","left behind","left behind","left behind","left behind"
"1","abarcara","abarcaras","abarcara","abarcáramos","abarcaran","abarcaran","encompassed","encompassed","encompassed","encompassed","encompassed","encompassed"
"2","abordara","abordaras","abordara","abordáramos","abordaran","abordaran","boarded","boarded","boarded","boarded","boarded","boarded"
"3","abrazara","abrazaras","abrazara","abrazáramos","abrazaran","abrazaran","hugged","hugged","hugged","hugged","hugged","hugged"
"4","abriera","abrieras","abriera","abriéramos","abrieran","abrieran","opened","opened","opened","opened","opened","opened"
"5","absorbiera","absorbieras","absorbiera","absorbiéramos","absorbieran","absorbieran","absorbed","absorbed","absorbed","absorbed","absorbed","absorbed"
"6","abundara","abundaras","abundara","abundáramos","abundaran","abundaran","was plentiful","were plentiful","was plentiful","were plentiful","were plentiful","were plentiful"
"7","aburriera","aburrieras","aburriera","aburriéramos","aburrieran","aburrieran","bored","bored","bored","bored","bored","bored"
"8","abusara","abusaras","abusara","abusáramos","abusaran","abusaran","abused","abused","abused","abused","abused","abused"
"9","acabara","acabaras","acabara","acabáramos","acabaran","acabaran","finished","finished","finished","finished","finished","finished"
"10","acariciara","acariciaras","acariciara","acariciáramos","acariciaran","acariciaran","stroked","stroked","stroked","stroked","stroked","stroked"
