"#","yo","tú","él, ella, usted","nosotros, nosotras","ustedes","ellos, ellas","I","you (informal)","he, she, you (formal)","we (masculine), we (feminine)","you all","they (masculine), they (feminine)"
"0","abandono","abandonas","abandona","abandonamos","abandonan","abandonan","leave behind","leave behind","leaves behind","leave behind","leave behind","leave behind"
"1","abarco","abarcas","abarca","abarcamos","abarcan","abarcan","encompass","encompass","encompasses","encompass","encompass","encompass"
"2","abordo","abordas","aborda","abordamos","abordan","abordan","board","board","boards","board","board","board"
"3","abrazo","abrazas","abraza","abrazamos","abrazan","abrazan","hug","hug","hugs","hug","hug","hug"
"4","abro","abres","abre","abrimos","abren","abren","open","open","opens","open","open","open"
"5","absorbo","absorbes","absorbe","absorbemos","absorben","absorben","absorb","absorb","absorbs","absorb","absorb","absorb"
"6","abundo","abundas","abunda","abundamos","abundan","abundan","am plentiful","are plentiful","is plentiful","are plentiful","are plentiful","are plentiful"
"7","aburro","aburres","aburre","aburrimos","aburren","aburren","bore","bore","bores","bore","bore","bore"
"8","abuso","abusas","abusa","abusamos","abusan","abusan","abuse","abuse","abuses","abuse","abuse","abuse"
"9","acabo","acabas","acaba","acabamos","acaban","acaban","finish","finish","finishes","finish","finish","finish"
