"#","yo","tú","él, ella, usted","nosotros, nosotras","ustedes","ellos, ellas","I","you (informal)","he, she, you (formal)","we (masculine), we (feminine)","you all","they (masculine), they (feminine)"
"0","abandone","abandones","abandone","abandonemos","abandonen","abandonen","leave behind","leave behind","leaves behind","leave behind","leave behind","leave behind"
"1","abarque","abarques","abarque","abarquemos","abarquen","abarquen","encompass","encompass","encompasses","encompass","encompass","encompass"
"2","aborde","abordes","aborde","abordemos","aborden","aborden","board","board","boards","board","board","board"
"3","abrace","abraces","abrace","abracemos","abracen","abracen","hug","hug","hugs","hug","hug","hug"
"4","abra","abras","abra","abramos","abran","abran","open","open","opens","open","open","open"
"5","absorba","absorbas","absorba","absorbamos","absorban","absorban","absorb","absorb","absorbs","absorb","absorb","absorb"
"6","abunde","abundes","abunde","abundemos","abunden","abunden","am plentiful","are plentiful","is plentiful","are plentiful","are plentiful","are plentiful"
"7","aburra","aburras","aburra","aburramos","aburran","aburran","bore","bore","bores","bore","bore","bore"
"8","abuse","abuses","abuse","abusemos","abusen","abusen","abuse","abuse","abuses","abuse","abuse","abuse"
"9","acabe","acabes","acabe","acabemos","acaben","acaben","finish","finish","finishes","finish","finish","finish"
