"#","yo","tú","él, ella, usted","nosotros, nosotras","ustedes","ellos, ellas","I","you (informal)","he, she, you (formal)","we (masculine), we (feminine)","you all","they (masculine), they (feminine)"
"0","abandonaré","abandonarás","abandonará","abandonaremos","abandonarán","abandonarán","will leave behind","will leave behind","will leave behind","will leave behind","will leave behind","will leave behind"
"1","abarcaré","abarcarás","abarcará","abarcaremos","abarcarán","abarcarán","will encompass","will encompass","will encompass","will encompass","will encompass","will encompass"
"2","abordaré","abordarás","abordará","abordaremos","abordarán","abordarán","will board","will board","will board","will board","will board","will board"
"3","abrazaré","abrazarás","abrazará","abrazaremos","abrazarán","abrazarán","will hug","will hug","will hug","will hug","will hug","will hug"
"4","abriré","abrirás","abrirá","abriremos","abrirán","abrirán","will open","will open","will open","will open","will open","will open"
"5","absorberé","absorberás","absorberá","absorberemos","absorberán","absorberán","will absorb","will absorb","will absorb","will absorb","will absorb","will absorb"
"6","abundaré","abundarás","abundará","abundaremos","abundarán","abundarán","will be plentiful","will be plentiful","will be plentiful","will be plentiful","will be plentiful","will be plentiful"
"7","aburriré","aburrirás","aburrirá","aburriremos","aburrirán","aburrirán","will bore","will bore","will bore","will bore","will bore","will bore"
"8","abusaré","abusarás","abusará","abusaremos","abusarán","abusarán","will abuse","will abuse","will abuse","will abuse","will abuse","will abuse"
"9","acabaré","acabarás","acabará","acabaremos","acabarán","acabarán","will finish","will finish","will finish","will finish","will finish","will finish"
